标题,视频简介,分类,bv号,av号,播放量,弹幕数,最高全站日排行,点赞,硬币,收藏,分享,up主,标签,时长,日期
⑨⑨⑨，天长地久般的共荣！,"\大胜利/
⑨⑨⑨⑨⑨⑨⑨⑨
av99999999
P1⑨周年纪念作full.ver
https://www.youtube.com/watch?v=V2EJAsWNsHA
P2\创价带胜利/
sm33141658:仅作者可看
P3OSU!打谱应援，玩家:watch my replay（回放）
P4 松冈修造老物sm8721809
p5兄G老物sm11872336
P6 教主老物sm5984696
P7cha研老物sm10192256
P8V家老物sm7681645
p9Z會sm19632918",音MAD,BV1y7411Q7Eq,99999999,151876,6302,0,13770,5107,12633,2300,下北沢中学音MAD社,#音MAD#和谐共荣！,21:47,2020-03-28
[av100000000]b站视频破亿了！,此时无声胜有声,其他,BV1y7411Q743,100000000,29218,84,0,1297,119,467,94,我很贼缺钱,#单机联机#8,00:25,2020-04-12
【白宇|罗非|照片】#罗非侦探的时装合集#,"电视剧《绅探》罗非侦探的137截图照合集
背景音乐 : 白宇的《北极耳语》
PS : 张张不重样哦！！！",影视剪辑,BV1y7411Q74u,100000002,6918,3,0,123,5,32,8,宇宙小嗲精,#白宇##绅探##罗非#,07:10,2020-03-28
AV100000000今日诞生！带你看B站十年AV号爆炸式增长,"热烈庆祝av100000000的诞生！
本视频av号: av100000003

视频中出现的链接有
av转bv算法: av98869161
bv转av插件: av327516352
证明av号仍然存在并持续增长中: av99562371

BGM: 削除 - AXION",趣味科普人文,BV1y7411Q74M,100000003,9626,24,0,286,34,136,12,OmnicFetish,#数据可视化##av100000000#,02:29,2020-03-28
【8bit音乐】竹取飞翔,av100000004,音乐综合,BV1y7411Q74L,100000004,1623,2,0,129,8,52,1,师醬,#东方##竹取飞翔##蓬莱山辉夜##8bit#,05:14,2020-03-29
音乐走起,-,日常,BV1y7411Q74G,100000007,569,0,0,17,0,2,0,柴二仔,#生活记录#,00:09,2020-03-28
【东方头破七分】 0721幻想乡 ～ History of the Machan,av100000010,音MAD,BV1y7411Q74c,100000010,1870,2,0,103,6,57,3,师醬,#必須アモト酸##东方头破七分##创价学会#,03:09,2020-03-29
【碳酸根的游戏实况】《奥日与黑暗森林（Ori and the Blind Forest）》小白老鼠666，会跑会跳biubiubiu~,奥日与黑暗森林一周目全流程~个人留念向，渣分P警告……,单机游戏,BV1y7411Q74T,100000012,341,0,0,11,2,3,1,碳酸根不反应,,07:59:17,2020-03-28
【音MAD】Shibata layer,av100000015,音MAD,BV1y7411Q74P,100000015,200,0,0,12,2,8,0,师醬,#创价学会##鬼畜##音MAD#,01:47,2020-03-29
【合作转载】IP小站×败家洋子迷之生活-潮玩购物体验分享～拆盲盒福利满满,"https://www.bilibili.com/video/BV18J411z7Lt
【合作转载】IP小站×败家洋子迷之生活-潮玩购物体验分享～拆盲盒福利满满
合作拆箱UP主：败家洋子迷之生活，bv18J411z7Lt
更多福利，请关注IP小站，喜欢的话请长按点赞三连，等你来哦！",日常,BV1y7411Q7x9,100000017,97,0,0,5,0,0,0,IP小站,#IP小站##IP Station##开盒#,03:14,2020-03-28
【东方】幻想乡～旅行的结束～ver1.0,"作者：kagikake
十二年前的远古老物，也是av19的原视频，算是补档吧。av19可能是b站第一个手书视频",短片·手书·配音,BV1y7411Q7xQ,100000019,1211,4,0,112,9,65,7,师醬,#东方##东方PROJECT##东方手书剧场#,05:01,2020-03-28
【av20->av100000020】初音ミク(40mP) - 巨大少女【夢幻劇院PV 中文字幕】,"本视频av号：av100000020
回归初心，特将此av号用于补档av20，B站第一首V家曲！附带PV及歌词日文+中文字幕~

原曲链接：sm7164046
作词/作曲/编曲：40?P
曲绘：ぎた
Logo设计：arico",VOCALOID·UTAU,BV1y7411Q7xf,100000020,1616,3,0,102,15,90,4,OmnicFetish,#av20补档#,03:36,2020-03-30
【手书】实力至上的完美主义教室（琪露诺的完美算数教室）治愈向,"av100000023
本家：nm7103480
P1作者ドル
miku版：av31019
油库里版：av6907",短片·手书·配音,BV1y7411Q7xd,100000023,2436,4,0,343,38,257,22,师醬,#治愈向##东方##琪露诺#,11:12,2020-03-31
悲伤神社,"昨天做了好事，所以更一下视频
(差一点就得到了...)",音乐综合,BV1y7411Q7x2,100000024,79,0,0,13,5,1,0,蛋定的蛋定哥,,00:37,2020-03-28
最佳新秀之争！莫兰特还是锡安？,https://m.weibo.cn/6499653743/4485754988679395,运动,BV1y7411Q7x1,100000025,1026,2,0,30,1,10,2,芝士字幕,#NBA##莫兰特##锡安威廉森#,04:23,2020-03-28
《假偶天成》前奏已完，正式开始！！！,第一弹,预告 资讯,BV1y7411Q7xU,100000030,518,0,0,10,0,1,1,Ln六一,#预告片##假偶天成##Sarawat#,00:28,2020-03-28
【今天看电影】豆瓣高分美国动作电影，公交车上装有炸弹，基努里维斯营救众人,豆瓣8.1的美国犯罪动作电影《生死时速》，讲述了炸弹专家在公车上安装了炸弹，特警老哥必须追上公车，拯救众人的故事。,影视杂谈,BV1y7411Q741,100000039,50,0,0,1,0,1,0,今天说两句,#电影解说##动作##动作片#,01:21,2020-03-28
辣椒酱的制作方法,-,美食圈,BV1y7411Q74z,100000045,18,0,0,0,0,0,0,玖歌爱美食爱旅行,#时尚星计划##美食vlog##美食制作#,00:58,2020-04-01
得知兄弟有难 飞奔支援,-,影视剪辑,BV1y7411Q74t,100000048,61,1,0,1,0,0,0,Zhiliao686,#剪辑# #电影剪辑# #电视剧#,04:00,2020-03-28
哇 我终于出门了！|| 走 去看看春天,-,日常,BV1y7411Q744,100000049,273,1,0,20,23,5,1,KERrr-,#VLOG# #春天# #生活#,02:27,2020-03-28
影 流 之 主,-,其他,BV1y7411Q74j,100000059,44,0,0,4,0,0,0,b站-齐天大圣,#影流之主##鬼畜调教#,00:12,2020-03-28
哈哈,-,绘画,BV1y7411Q74H,100000062,18,0,0,2,0,0,0,bili_36199133008,#原创#,00:23,2020-03-28
健身环三周目111天，居然有喷射战士的音乐,,单机游戏,BV1y7411Q74n,100000063,54,0,0,0,0,0,0,世界悲,#独立游戏##主机游戏##运动#,48:48,2020-03-28
