标题,分类,bv号,av号,播放量,弹幕数,最高全站日排行,点赞,硬币,收藏,分享,up主,标签,时长,日期
笑笑西卡直播LOL克隆模式：五个努努推雪球 节目效果拉满,日常,BV1C7411Q7Uo,100002174,23269,155,0,266,73,48,213,德云色偷梗堂,最近一段时间里节目效果最好的一次#德云色##电子竞技##英雄联盟#,22:14,2020-03-28
【章鱼小丸子】《行走大师！Walk Master》第31关,单机游戏,BV1C7411Q7mW,100002192,46,0,0,4,5,1,0,章鱼小丸子吖吖,#bilibili新星计划# #独立游戏# #小游戏#,02:37,2020-03-28
语文必修三、四网课,演讲• 公开课,BV1C7411Q7mG,100002203,1176,1,0,4,1,45,2,小于子y,,19:24:42,2020-03-28
鲜活好羊奶，就选贝博儿！,日常,BV1C7411Q7UV,100002208,4,0,0,0,0,0,0,贝博儿羊奶粉,#母婴##健康##创意#,00:15,2020-03-28
草食系猫咪，你见过吗,搞笑,BV1C7411Q7mR,100002226,7,0,0,0,0,0,0,天青月素白,#宠物# #奇葩# #可爱#,00:16,2020-03-28
你能坚持不笑吗？令人爆笑沙雕图合集第29期,搞笑,BV1C7411Q7m9,100002227,1477991,10999,0,150692,9422,9315,2579,银桑Gint0ki,#搞笑挑战##逗比##搞笑视频#,08:04,2020-03-28
【手帐拼贴】快来和我一起剪掉过期杂志！做成手帐吧～,手工,BV1C7411Q7Uj,100002213,25,1,0,7,2,1,1,一只奇异果吖,"#加油2020,VLOG挑战#",05:10,2020-03-28
朋友圈大冷面,美食圈,BV1C7411Q7mj,100002207,34,0,0,0,0,0,1,zhk790,#料理制作##冷面##自制#,00:15,2020-03-28
图标的pvz2第三期 初遇种子保卫战,单机游戏,BV1C7411Q7m1,100002235,8,0,0,0,0,0,0,植物大战僵尸的图标,,20:15,2020-03-28
底牌放的王炸给我莫大的勇气！虽然农民都超加了，我也要冲刺！,桌游棋牌,BV1C7411Q7mQ,100002237,0,0,0,0,0,0,0,幸之棋牌,#桌游棋牌##欢乐斗地主##游戏视频#,01:37,2020-03-28
点赞（｡ò ∀ ó｡）2,短片·手书·配音,BV1C7411Q7mS,100002239,15,0,0,1,0,1,0,哈军团,#定格动画##原创动画##新人#,00:34,2020-03-28
天气不错，出来拍火车,机械,BV1C7411Q7mZ,100002231,300,1,0,17,0,9,1,YouTube铁路视频搬运,#铁路##火车##火车迷#,04:37,2020-03-28
王者荣耀（安琪拉）,手机游戏,BV1C7411Q72h,100002243,20,0,0,3,4,2,0,疯魔梦魂,#手机游戏##王者荣耀安琪拉##安琪拉#,04:16,2020-03-28
转行啦！舞蹈up主翻唱按摩女郎~,音乐综合,BV1C7411Q72a,100002242,175,0,0,28,7,4,1,大牙十三兔,#全能打卡挑战# #音乐#,01:28,2020-03-28
林毅夫讲经济3a_标清,演讲• 公开课,BV1C7411Q72t,100002254,149,0,0,19,1,12,2,战忽局印太司令部,#星海##趣味科普人文##教育#,48:49,2020-03-30
想想也很美好～嘻嘻,明星,BV1C7411Q72H,100002260,17,0,0,2,0,0,0,敏敏酒精过敏,#王一博##明星##剪辑#,00:09,2020-03-28
孤岛惊魂3最高难度全流程+全哨站（2）【完结】,单机游戏,BV1C7411Q72u,100002264,53,0,0,3,1,0,0,xxggmbf,,06:57:57,2020-03-30
五阶宿伞实战视频《第五人格》2020.3.28.10:17,网络游戏,BV1C7411Q7mU,100002232,17,1,0,1,2,0,0,必安_无咎,#第五人格#,07:20,2020-03-28
2020.3.24土豆片炒香肠,美食圈,BV1C7411Q72G,100002269,141,0,0,4,0,6,0,小楠食记,#美食视频##美食圈##美食制作#,01:14,2020-04-01
挑战彭于晏身材第6天,日常,BV1C7411Q7mM,100002279,47,0,0,0,0,0,0,碳循环的汉良哥,#VLOG# #挑战# #生活#,00:58,2020-03-28
基因突变课程讲解（不知道怎么投分区就投了其他）,其他,BV1C7411Q72z,100002299,8,0,0,1,0,0,2,守望者绝望,#教育##学习##生物#,15:31,2020-03-28
（勾指起誓）（男神向）,MAD·AMV,BV1C7411Q7Rj,100002305,65,1,0,13,4,5,0,风雨秀眠,#全能打卡挑战##冰上的尤里##西条高人#,03:03,2020-03-29
【高雯】克拉恋人第二集cut3,影视剪辑,BV1C7411Q7Rn,100002309,957,0,0,7,0,1,0,灰在天空的小象,#高雯##克拉恋人##迪丽热巴#,00:49,2020-03-28
【李斯丹妮】淡黄的长裙，蓬松的头发|Rap|青春有你2妹妹们加油,明星,BV1C7411Q7RE,100002311,107,0,0,1,0,0,0,雨若____,#李斯丹妮# #综艺# #青春有你2#,00:52,2020-03-28
王者荣耀孙尚香,网络游戏,BV1C7411Q7R3,100002318,10,0,0,1,0,0,0,零崎千贺,#游戏视频##王者荣耀##王者荣耀孙尚香#,10:38,2020-03-28
【核战】我的世界起床战争EP.2 第一次开麦！,网络游戏,BV1C7411Q7RV,100002316,59,2,0,7,0,1,0,核战解说,#我的世界##HYPIXEL##起床战争#,17:58,2020-03-28
[cut] 还有人记得当年的fallen down吗,音乐综合,BV1C7411Q7Rc,100002320,63,0,0,13,2,2,0,morring,#日本##动漫歌曲##动漫音乐#,01:49,2020-03-28
火影忍者#商丘##站内传递正能量，争做“,日常,BV1C7411Q7RF,100002321,3,0,0,0,0,0,0,骨辉,火影忍者#商丘##站内传递正能量，争做“阳光UP主”#,02:29,2020-03-28
特朗普打脸合集,搞笑,BV1C7411Q7RN,100002324,616,0,0,10,2,5,29,门徒蛤,#特朗普##搞笑#,00:51,2020-03-28
试驾苍穹绝影--龙门新春1.36.37,手机游戏,BV1C7411Q79X,100002328,93,0,0,4,3,1,1,萧何VII,#QQ飞车手游##手游##QQ飞车#,03:23,2020-03-28
星野的讨债之路第一期 我就是讨个债而已，有必要打我吗？,单机游戏,BV1C7411Q7Rm,100002339,9,0,0,2,1,0,1,Rui星野,#单机联机##实况解说##新人#,24:00,2020-03-28
【Great-Girl 】饭小偷吃酱螃蟹！酱油腌制，生螃蟹，吃的声音,美食圈,BV1C7411Q7R9,100002341,739,0,0,14,1,8,0,晚上好商店,#美食圈##咀嚼音##耳机#,08:33,2020-03-29
【前端学习记录】新拟态风格UI界面实现尝试，公共less抽离与配置使用,野生技术协会,BV1C7411Q7RQ,100002343,119,0,0,3,2,10,0,汐月枫尘,,09:15,2020-03-28
Evil Geniuses vs 100 Thieves - ESL职业联赛-最佳时刻CSGO,电子竞技,BV1C7411Q7Rk,100002344,19,0,0,1,0,0,0,T1red-CSGO,,32:42,2020-03-28
泡脚虽然好，但这2种泡脚方式，可能是在“养病”，赶紧改正,日常,BV1C7411Q7R2,100002348,592,0,0,18,4,4,3,侃侃养生,#全能打卡挑战##健康##泡脚#,01:07,2020-03-29
老蒋直播 连麦 3.27 【独立思考更重要的是思考】,日常,BV1C7411Q7R1,100002349,96,0,0,0,0,4,0,Uuuuunify,"#知识分享官# #老老蒋巨靠谱# #生活记录#
扩大知识面，达到一定的知识储备
高强度高质量的思考，达到自身的逻辑自洽
交流中进行批判思考 ",09:06,2020-03-28
都学课堂-管理类联考-逻辑-必要条件命题基本推理真题精讲,演讲• 公开课,BV1C7411Q7Ry,100002350,2,0,0,0,0,0,0,都学课堂官方,#公开课##演讲##MBA#,19:55,2020-03-28
